OverallQual,OverallCond,BsmtFinSF1,GrLivArea,BedroomAbvGr,GarageArea,SalePrice
7,5,706,1710,3,548,208500
6,8,978,1262,3,460,181500
7,5,486,1786,3,608,223500
7,5,216,1717,3,642,140000
8,5,655,2198,4,836,250000
5,5,732,1362,1,480,143000
8,5,1369,1694,3,636,307000
7,6,859,2090,3,484,200000
7,5,0,1774,2,468,129900
5,6,851,1077,2,205,118000
5,5,906,1040,3,384,129500
9,5,998,2324,4,736,345000
5,6,737,912,2,352,144000
7,5,0,1494,3,840,279500
6,5,733,1253,2,352,157000
7,8,0,854,2,576,132000
6,7,578,1004,2,480,149000
4,5,0,1296,2,516,90000
5,5,646,1114,3,576,159000
5,6,504,1339,3,294,139000
8,5,0,2376,4,853,325300
7,7,0,1108,3,280,139400
8,5,0,1795,3,534,230000
5,7,840,1060,3,572,129900
5,8,188,1060,3,270,154000
8,5,0,1600,3,890,256300
5,7,234,900,3,576,134800
8,5,1218,1704,3,772,306000
5,6,1277,1600,2,319,207500
4,6,0,520,1,240,68500
4,4,0,1317,3,250,40000
5,6,0,1228,3,271,149350
8,5,0,1234,3,484,179900
5,5,1018,1700,4,447,165500
9,5,1153,1561,2,556,277500
8,5,0,2452,4,691,309000
5,5,0,1097,3,672,145000
5,6,1213,1297,3,498,153000
5,7,731,1057,3,246,109000
4,5,0,1152,2,0,82000
6,5,643,1324,3,440,160000
5,6,967,1328,2,308,170000
5,7,747,884,2,504,144000
5,6,280,938,3,308,130250
5,6,179,1150,3,300,141000
9,5,456,1752,2,576,319900
7,5,1351,2149,1,670,239686
8,5,24,1656,3,826,249700
4,5,0,1452,2,0,113000
5,7,763,955,3,386,127000
6,6,182,1470,3,388,177000
6,6,0,1176,3,528,114500
5,5,104,816,2,516,110000
9,5,1810,1842,0,894,385000
5,5,384,1360,3,572,130000
6,5,490,1425,3,576,180500
8,5,649,1739,3,480,172500
7,5,0,1720,3,565,196500
10,5,0,2945,3,641,438780
5,7,632,780,2,352,124900
6,5,941,1158,3,576,158000
5,7,0,1111,3,288,101000
8,5,24,1370,2,484,202500
7,6,0,1710,3,480,140000
7,5,739,2034,3,645,219500
8,5,0,2473,4,852,317000
7,5,912,2207,3,576,180000
7,5,1013,1479,3,558,226000
4,6,0,747,2,220,80000
7,4,603,2287,3,667,225000
7,6,1880,2223,3,516,244000
4,6,565,845,2,360,129500
7,5,0,1718,3,427,185000
5,7,320,1086,3,490,144900
3,6,0,1605,3,379,107400
4,5,462,988,2,297,91000
4,7,228,952,2,283,135750
5,5,336,1285,2,240,127000
4,5,0,1768,4,0,136500
5,6,0,1230,2,440,110000
6,6,448,2142,4,509,193500
6,5,1201,1337,2,405,153500
8,5,33,1563,3,758,245000
5,5,0,1065,3,461,126500
7,5,0,1474,3,400,168500
8,5,0,2417,4,462,260000
6,5,0,1560,3,400,174000
6,5,0,1224,2,528,164500
3,2,0,1526,2,0,85000
4,5,588,990,3,0,123600
4,5,0,1040,2,420,109900
5,3,600,1235,2,480,98600
5,7,713,964,2,432,163500
6,6,1046,2291,4,506,133900
6,5,648,1786,3,684,204750
6,8,310,1470,3,420,185000
7,5,1162,1588,3,472,214000
4,5,520,960,3,432,94750
5,5,108,835,2,366,83000
4,5,569,1225,3,0,128950
6,7,1200,1610,3,480,205000
6,5,0,1732,3,476,178000
5,5,0,1535,4,410,118964
7,5,0,1226,3,740,198900
7,4,224,1818,4,240,169500
8,5,0,1992,3,648,250000
4,7,0,1047,2,273,100000
5,5,104,789,2,250,115000
5,7,0,1517,3,0,115000
6,6,705,1844,3,546,190000
6,4,444,1855,4,325,136900
7,5,250,1430,3,400,180000
7,5,984,2696,4,792,383970
6,5,35,2259,3,450,217000
6,8,774,2320,3,180,259500
6,5,419,1458,2,440,176000
5,5,170,1092,3,288,139000
5,5,0,1125,2,430,155000
7,5,1470,3222,5,594,320000
6,5,0,1456,3,390,163990
6,5,938,988,1,540,180000
4,5,0,1123,3,264,100000
6,7,570,1080,3,288,136000
6,5,300,1199,2,530,153900
6,5,0,1586,3,435,181000
6,8,490,754,2,0,84500
6,5,120,958,2,440,128000
5,7,116,840,3,0,87000
6,5,512,1348,3,453,155000
5,7,567,1053,3,750,150000
7,6,445,2157,4,487,226000
6,5,695,2054,3,390,244000
5,6,405,1327,3,624,150750
8,5,1005,1296,2,471,220000
5,6,570,1721,3,440,180000
7,6,0,1682,3,530,174000
5,5,695,1214,3,318,143000
7,5,0,1959,5,766,171000
8,5,668,1852,3,660,230000
6,5,821,1764,3,470,231500
4,5,432,864,3,0,115000
7,5,1300,1734,3,660,260000
5,4,507,1385,4,720,166000
7,5,679,1501,3,577,204000
5,5,1332,1728,6,504,125000
6,5,0,1709,3,380,130000
5,7,209,875,2,180,105000
7,5,0,2035,3,434,222500
7,5,680,1080,3,0,141000
5,4,0,1344,3,240,115000
5,6,716,969,3,440,122000
8,5,1400,1710,2,866,372402
6,5,416,1993,4,495,190000
6,7,429,1252,1,564,235000
6,5,0,1200,4,312,125000
6,5,0,1096,2,0,79000
5,7,0,1040,2,625,109500
8,5,0,1968,4,680,269500
7,5,222,1947,3,678,254900
7,5,57,2462,4,576,320000
6,6,660,1232,3,516,162500
9,5,1016,2668,3,726,412500
7,5,1201,1541,3,532,220000
4,6,0,882,1,0,103200
6,7,370,1616,3,216,152000
5,7,351,1355,4,0,127500
5,5,379,1867,2,303,190000
8,5,1288,2161,3,789,325624
7,5,0,1720,3,440,183500
8,6,0,1707,2,511,228000
5,6,360,1382,2,660,128500
6,5,639,1656,3,528,215000
7,7,495,1767,2,504,239000
6,5,288,1362,3,504,163000
6,5,1398,1651,3,616,184000
6,7,477,2158,4,576,243000
6,5,831,2060,4,521,211000
5,5,57,1920,4,451,172500
9,5,1904,2234,1,1166,501837
5,6,0,968,2,480,100000
6,5,436,1525,3,440,177000
7,6,352,1802,4,216,200100
5,6,0,1340,3,252,120000
7,5,0,2082,3,484,200000
5,8,0,1252,3,576,127000
10,9,0,3608,4,840,475000
7,5,611,1217,3,497,173000
5,7,0,1656,3,180,135000
5,5,1086,1224,2,528,153337
8,5,1153,1593,0,682,286000
8,8,297,2727,3,440,315000
7,9,626,1479,4,484,184000
