Identifier,Company_Name,Country_of_Headquarters,IVLatestFiscalYearPeriodEndDate,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY-8,FY-9
ADLG.DE,Adler Real Estate AG,Germany,,46.54,37.86,35.58,27.42,,,,,,
AGRG.F,AGROB Immobilien AG,Germany,31-12-2022,,,,,,,,,,
AEE1.D,AEE Gold AG,Germany,,38.27,,,,,,,,,
AAHG.F,Ahlers AG,Germany,,,,,,,,,,,
ABKG.MU,Aktienbrauerei Kaufbeuren AG,Germany,30-09-2022,,,,,,,,,,
ALXG.F,Alexanderwerk AG,Germany,31-12-2022,,,,,,,,,,
ATWG.BE,Allerthal-Werke AG,Germany,,,,,,,,,,,
ALBG.MU,Allgaeuer Brauhaus AG,Germany,31-12-2022,48.2,49.54,46.65,,,,,,,
GGS.DE,Gigaset AG,Germany,,,,,,,,,,,
BFKG.BE,Bastfaserkontor AG,Germany,,93.28,92.29,90.73,89.12,89.65,84.4,82.92,74.95,73.85,74.65
BAYGn.DE,Bayer AG,Germany,31-12-2022,62.05,63.05,56.79,55.72,57.19,,,,,
PBBG.DE,Deutsche Pfandbriefbank AG,Germany,,72.29,69.55,62.94,48.53,47.96,,,,,
BYWGnx.DE,BayWa AG,Germany,31-12-2022,,,,,,,,,,
JFBG.SG,Joh Friedrich Behrens AG,Germany,,70.87,66.17,62.56,63.5,62.53,59.21,54.05,56.12,55.88,59.08
BEIG.DE,Beiersdorf AG,Germany,31-12-2022,,,,,,,,,,
BGBG.MU,Berchtesgadener Bergbahn AG,Germany,,18.26,12.03,,,,,,,,
ADCG.F,AdCapital AG,Germany,,68.95,63.63,70.13,68.51,70.49,71.45,63.57,69.86,60.45,53.11
GBFG.DE,Bilfinger SE,Germany,31-12-2022,88.86,88.95,86.98,86.18,88.23,74.75,74.31,72.38,51.27,48.9
BOSSn.DE,Hugo Boss AG,Germany,31-12-2022,,,,,,,,,,
IPOKk.F,Heidelberger Beteiligungsholding AG,Germany,,57.05,45.11,,,,,,,,
BLHG.F,BREMER LAGERHAUS-GESELLSCHAFT AG von 1877,Germany,31-12-2022,15.92,11,,,,,,,,
BIJG.DE,Bijou Brigitte modische Accessoires AG,Germany,31-12-2022,,,,,,,,,,
BRLG.BE,Brilliant AG,Germany,31-12-2021,,,,,,,,,,
BBIG.F,BBI Buergerliches Brauhaus Immobilien AG,Germany,31-12-2022,,,,,,,,,,
BBRG.SG,Buergerliches Brauhaus Ravensburg Lindau Aktiengesellschaft,Germany,,,,,,,,,,,
CEAG.DE,Friwo AG,Germany,,80.32,78.18,70.65,69.83,73.2,69.59,62.79,67.1,66.32,68.33
CBKG.DE,Commerzbank AG,Germany,31-12-2022,78.77,79.61,80.26,77.92,84.45,84.48,80.69,80.25,78.79,77.17
CONG.DE,Continental AG,Germany,31-12-2022,19.98,17.53,,,,,,,,
DAMG.DE,DATA MODUL Produktion und Vertrieb von elektronischen Systemen AG,Germany,31-12-2022,89.2,85.68,85.74,85.54,80.89,81.01,76.97,76.73,81.15,83.86
DBKGn.DE,Deutsche Bank AG,Germany,31-12-2022,44.09,43.7,46.74,35.46,,,,,,
DBANn.DE,Deutsche Beteiligungs AG,Germany,30-09-2022,,,,,,,,,,
EFFG.DE,Deutsche Effecten und Wechsel Beteiligungsgesellschaft AG,Germany,,77.24,70.86,70.64,76.46,73.03,72.47,67.4,65.55,69.47,66.47
LHAG.DE,Deutsche Lufthansa AG,Germany,31-12-2022,,,,,,,,,,
DWBG.SG,Dinkelacker AG,Germany,30-09-2022,,,,,,,,,,
DORG.D,Dorstener Maschinenfabrik AG,Germany,,72.2,65.66,47.82,36.62,30.97,30.84,28.87,28.81,,
DUEG.DE,Duerr AG,Germany,31-12-2022,44.12,27.74,,,,,,,,
EDDG_p.F,edding AG,Germany,31-12-2022,36.46,36.05,,,,,,,,
EING_p.DE,Einhell Germany AG,Germany,31-12-2022,,,,,,,,,,
EISG.F,Eisen und Huettenwerke AG,Germany,30-09-2022,15.82,17.62,11.11,5.58,,,,,,
EUKG_p.F,EUROKAI GmbH & Co KgaA,Germany,31-12-2022,41.42,39.99,38.92,,,,,,,
KWGG.DE,KHD Humboldt Wedag International AG,Germany,,,,,,,,,,,
FHWG.F,Fernheizwerk Neukoelln AG,Germany,,,,,,,,,,,
FDD.H,Pilkington Deutschland AG,Germany,,,,,,,,,,,
FEVG.DE,Fortec Elektronik AG,Germany,30-06-2022,56.24,52.19,46.08,47.15,52.33,32.26,26.13,26.87,24.67,25.55
FPE3_p.DE,Fuchs Petrolub SE,Germany,31-12-2022,,,,,,,,,,
WWGG.F,Gelsenwasser AG,Germany,31-12-2022,,,,,,,,,,
GWKGn_p.H,GAG Immobilien AG,Germany,31-12-2022,,,,,,,,,,
ARNG.D,Arn Georg AG,Germany,,57.18,58.29,51.45,36.68,35.57,32.11,,,,
GILG.DE,DMG Mori AG,Germany,31-12-2022,,,,,,,,,,
GRFG.F,Greiffenberger AG,Germany,31-12-2022,51.11,40.89,32.51,29.66,,,,,,
HABAn.DE,Hamborner REIT AG,Germany,31-12-2022,,,,,,,,,,
ABHA.MU,Hasen-Immobilien AG,Germany,31-12-2021,83.03,83.36,82.36,77.2,78.97,80.17,80.55,79.58,78.09,74.75
HEIG.DE,Heidelberg Materials AG,Germany,31-12-2022,,,,,,,,,,
MAKG.DE,MATERNUS-Kliniken-AG,Germany,,79.63,80.64,81.92,75.48,70.12,72.08,72.26,78.01,78.3,76.4
HNKG_p.DE,Henkel AG & Co KGaA,Germany,31-12-2022,15.87,,,,,,,,,
HNDG.F,FRoSTA AG,Germany,31-12-2022,87.49,88.45,88.94,84.98,84.9,86.88,89.15,81.48,78.86,73.06
HOTG.DE,Hochtief AG,Germany,31-12-2022,,,,,,,,,,
HOZG.D,Philipp Holzmann AG,Germany,,63.04,50.56,,,,,,,,
IURG.DE,Kap AG,Germany,,,,,,,,,,,
JTH0.MU,Gesundheitswelt Chiemgau AG,Germany,31-12-2022,64.91,57.09,57.25,52.89,51.63,44.28,36.99,37.92,52.4,54.54
SDFGn.DE,K&S AG,Germany,,66.82,70.85,43.91,48.88,28.12,47.14,29.18,,,
AROG.SG,Arcandor AG,Germany,,61.86,61.69,47.76,49.86,46.99,,,,,
KWSG.DE,KWS SAAT SE & Co KgaA,Germany,30-06-2022,72.13,70.04,67.18,55.81,57.99,,,,,
