Country,Gender,Age,Color,Pay
Canada,Female,31,Yellow,9038
Canada,Female,63,Orange,8496
Canada,Female,35,Red,5598
Germany,Male,61,Orange,8342
UK,Female,54,Red,5218
USA,Female,57,Red,9441
UK,Female,27,Green,4690
UK,Male,41,Blue,4611
UK,Male,65,Orange,9210
Canada,Male,56,Red,2851
Australia,Female,46,Blue,6381
Australia,Female,39,Orange,1678
Canada,Female,27,Red,9219
Canada,Male,36,Blue,8463
USA,Male,63,Orange,8010
Canada,Female,31,Red,8254
Australia,Female,27,Blue,6033
Australia,Male,63,Blue,9755
USA,Male,35,Yellow,5517
Germany,Female,27,Blue,9043
UK,Male,22,Green,1838
Germany,Male,31,Red,2494
UK,Female,22,Red,2268
Germany,Male,44,Green,8101
Australia,Female,56,Green,9441
UK,Male,61,Blue,8516
USA,Female,31,Green,8106
Canada,Male,40,Blue,3789
Canada,Female,30,Green,2938
Canada,Male,27,Blue,2540
Australia,Female,44,Yellow,7076
Germany,Female,35,Green,4319
Germany,Female,36,Red,2673
UK,Female,35,Green,6625
Canada,Female,55,Orange,5505
Australia,Female,18,Blue,1475
Canada,Male,34,Red,1475
USA,Female,31,Orange,3277
Germany,Female,62,Green,8463
Australia,Male,57,Green,8516
Australia,Male,43,Red,5246
Canada,Male,46,Green,9458
USA,Male,55,Yellow,2356
UK,Female,47,Orange,1678
Canada,Male,36,Yellow,2268
USA,Female,55,Blue,8342
Canada,Female,55,Green,9337
Germany,Male,63,Green,4690
Canada,Male,49,Yellow,7803
Australia,Male,29,Blue,1475
Germany,Female,23,Red,9219
UK,Male,47,Red,1475
Germany,Male,22,Blue,3549
Australia,Female,27,Green,2938
Australia,Female,35,Blue,4690
Germany,Male,59,Blue,1678
Germany,Female,35,Red,3269
USA,Female,48,Orange,5218
UK,Female,28,Red,1758
Australia,Male,22,Orange,9441
Germany,Male,47,Yellow,5218
Germany,Male,22,Blue,3233
Germany,Female,53,Yellow,4345
UK,Male,29,Green,7076
UK,Female,43,Blue,4488
Canada,Male,61,Red,7097
Canada,Female,18,Green,8808
UK,Female,63,Yellow,1678
Australia,Male,65,Orange,9210
USA,Female,62,Blue,4488
Canada,Male,18,Blue,1475
UK,Male,44,Red,6073
Canada,Male,49,Yellow,9441
UK,Female,48,Blue,1838
Australia,Male,27,Blue,8453
USA,Female,62,Orange,8670
Canada,Female,61,Red,6033
USA,Male,55,Yellow,1514
Australia,Female,58,Yellow,4345
Canada,Male,32,Blue,2673
Canada,Female,31,Red,3789
Germany,Female,45,Red,2938
USA,Female,48,Blue,4690
USA,Male,61,Orange,8808
USA,Female,32,Green,5626
UK,Male,60,Blue,1073
UK,Male,19,Green,6073
USA,Female,49,Yellow,9755
Australia,Male,27,Blue,5329
USA,Male,18,Green,4772
Germany,Male,49,Red,3269
Australia,Male,47,Blue,5598
USA,Female,55,Green,3401
UK,Male,65,Blue,8516
USA,Male,62,Orange,2938
Australia,Male,35,Blue,3789
USA,Male,65,Blue,9210
Germany,Male,55,Green,3638
Australia,Male,58,Green,4611
Australia,Female,53,Blue,2540
