StateName,Capital,LargestCity
AndhraPradesh,"Hyderabad(dejure)
Amaravati(defacto)
Visakhapatnam(Administrative)",Visakhapatnam
ArunachalPradesh,Itanagar,Itanagar
Assam,Dispur,Guwahati
Bihar,Patna,Patna
Chhattisgarh,NayaRaipur,Raipur
Goa,Panaji,VascodaGama
Gujarat,Gandhinagar,Ahmedabad
Haryana,Chandigarh,Faridabad
HimachalPradesh,"Shimla(Summer)
Dharamsala(Winter)",Shimla
Jharkhand,Ranchi,Jamshedpur
Karnataka,Bangalore,Bengaluru
Kerala,Thiruvananthapuram,Malappuram
MadhyaPradesh,Bhopal,Indore
Maharashtra,Mumbai,Mumbai
Manipur,Imphal,manipur
Meghalaya,Shillong,Shillong
Mizoram,Aizawl,Aizawl
Nagaland,Kohima,Dimapur
Odisha,Bhubaneshwar,Bhubaneswar
Punjab,Chandigarh,Ludhiana
Rajasthan,Jaipur,Jaipur
Sikkim,Gangtok,Gangtok
TamilNadu,Chennai,Tamil
Telangana,Hyderabad,Hyderabad
Tripura,Agartala,Agartala
Uttarakhand,"Gairsain(Summer)
Dehradun(Winter)",Dehradun
UttarPradesh,Lucknow,Lucknow
WestBengal,Kolkata,Kolkata
