PassengerId,Age,Fare,Survived
1,22,7.25,0
2,38,71.2833,1
3,26,7.925,1
4,35,53.1,1
5,35,8.05,0
7,54,51.8625,0
8,2,21.075,0
9,27,11.1333,1
10,14,30.0708,1
11,4,16.7,1
12,58,26.55,1
13,20,8.05,0
14,39,31.275,0
15,14,7.8542,0
16,55,16,1
17,2,29.125,0
19,31,18,0
21,35,26,0
22,34,13,1
23,15,8.0292,1
24,28,35.5,1
25,8,21.075,0
26,38,31.3875,1
28,19,263,0
31,40,27.7208,0
34,66,10.5,0
35,28,82.1708,0
36,42,52,0
38,21,8.05,0
39,18,18,0
40,14,11.2417,1
41,40,9.475,0
42,27,21,0
44,3,41.5792,1
45,19,7.8792,1
50,18,17.8,0
51,7,39.6875,0
52,21,7.8,0
53,49,76.7292,1
54,29,26,1
55,65,61.9792,0
57,21,10.5,1
58,28.5,7.2292,0
59,5,27.75,1
60,11,46.9,0
61,22,7.2292,0
62,38,80,1
63,45,83.475,0
64,4,27.9,0
67,29,10.5,1
68,19,8.1583,0
69,17,7.925,1
70,26,8.6625,0
71,32,10.5,0
72,16,46.9,0
73,21,73.5,0
74,26,14.4542,0
75,32,56.4958,1
76,25,7.65,0
79,0.83,29,1
80,30,12.475,1
81,22,9,0
82,29,9.5,1
84,28,47.1,0
85,17,10.5,1
86,33,15.85,1
87,16,34.375,0
89,23,263,1
90,24,8.05,0
91,29,8.05,0
92,20,7.8542,0
93,46,61.175,0
94,26,20.575,0
95,59,7.25,0
97,71,34.6542,0
98,23,63.3583,1
99,34,23,1
100,34,26,0
101,28,7.8958,0
103,21,77.2875,0
104,33,8.6542,0
105,37,7.925,0
106,28,7.8958,0
107,21,7.65,1
109,38,7.8958,0
111,47,52,0
112,14.5,14.4542,0
113,22,8.05,0
114,20,9.825,0
115,17,14.4583,0
116,21,7.925,0
117,70.5,7.75,0
118,29,21,0
119,24,247.5208,0
120,2,31.275,0
121,21,73.5,0
123,32.5,30.0708,0
124,32.5,13,1
125,54,77.2875,0
126,12,11.2417,1
128,24,7.1417,1
130,45,6.975,0
131,33,7.8958,0
132,20,7.05,0
133,47,14.5,0
134,29,26,1
135,25,13,0
136,23,15.0458,0
137,19,26.2833,1
138,37,53.1,0
139,16,9.2167,0
140,24,79.2,0
142,22,7.75,1
143,24,15.85,1
144,19,6.75,0
145,18,11.5,0
146,19,36.75,0
147,27,7.7958,1
148,9,34.375,0
149,36.5,26,0
150,42,13,0
151,51,12.525,0
152,22,66.6,1
153,55.5,8.05,0
154,40.5,14.5,0
156,51,61.3792,0
157,16,7.7333,1
158,30,8.05,0
161,44,16.1,0
162,40,15.75,1
163,26,7.775,0
164,17,8.6625,0
165,1,39.6875,0
166,9,20.525,1
168,45,27.9,0
170,28,56.4958,0
